Population: 256
Generation: 0



fitness: 321.411  complexity: 6  size: 7
fitness: 372.453  complexity: 6  size: 7
fitness: 473.788  complexity: 6  size: 7


Species: 32.9938  offsprings: 21  size: 40
fitness: 0.812824  complexity: 6  size: 7
fitness: 2.54656  complexity: 6  size: 7
fitness: 2.95202  complexity: 6  size: 7
fitness: 5.41871  complexity: 6  size: 7
fitness: 6.66903  complexity: 6  size: 7
fitness: 6.68927  complexity: 6  size: 7
fitness: 7.66282  complexity: 6  size: 7
fitness: 7.89192  complexity: 6  size: 7
fitness: 9.48438  complexity: 6  size: 7
fitness: 9.63812  complexity: 6  size: 7
fitness: 11.1396  complexity: 6  size: 7
fitness: 11.4678  complexity: 6  size: 7
fitness: 11.6092  complexity: 6  size: 7
fitness: 12.962  complexity: 6  size: 7
fitness: 13.6635  complexity: 6  size: 7
fitness: 13.9421  complexity: 6  size: 7
fitness: 14.0509  complexity: 6  size: 7
fitness: 15.8371  complexity: 6  size: 7
fitness: 15.9191  complexity: 6  size: 7
fitness: 18.0382  complexity: 6  size: 7
fitness: 18.3854  complexity: 6  size: 7
fitness: 20.0772  complexity: 6  size: 7
fitness: 21.6764  complexity: 6  size: 7
fitness: 24.2189  complexity: 6  size: 7
fitness: 25.1795  complexity: 6  size: 7
fitness: 26.001  complexity: 6  size: 7
fitness: 26.8257  complexity: 6  size: 7
fitness: 27.2389  complexity: 6  size: 7
fitness: 28.3835  complexity: 6  size: 7
fitness: 30.8858  complexity: 6  size: 7
fitness: 31.0274  complexity: 7  size: 7
fitness: 31.623  complexity: 6  size: 7
fitness: 33.9856  complexity: 6  size: 7
fitness: 34.4876  complexity: 6  size: 7
fitness: 36.5881  complexity: 6  size: 7
fitness: 39.5942  complexity: 6  size: 7
fitness: 40.1357  complexity: 6  size: 7
fitness: 106.172  complexity: 6  size: 7
fitness: 233.452  complexity: 6  size: 7
fitness: 285.421  complexity: 6  size: 7


Species: 26.1545  offsprings: 25  size: 12
fitness: 11.4099  complexity: 6  size: 7
fitness: 12.4051  complexity: 6  size: 7
fitness: 12.47  complexity: 6  size: 7
fitness: 17.2096  complexity: 6  size: 7
fitness: 21.989  complexity: 6  size: 7
fitness: 22.4126  complexity: 6  size: 7
fitness: 22.8751  complexity: 6  size: 7
fitness: 24.2833  complexity: 6  size: 7
fitness: 29.9289  complexity: 6  size: 7
fitness: 31.7724  complexity: 6  size: 7
fitness: 40.2864  complexity: 6  size: 7
fitness: 66.8123  complexity: 6  size: 7


